,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
41,CHEMBL2323273,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cccc(Br)c2)CC1,active,488.47000000000025,3.8160000000000025,1.0,3.0,6.0
45,CHEMBL2323269,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2C(=O)O)CC1,inactive,453.5830000000003,2.7516999999999996,2.0,4.0,4.3979400086720375
54,CHEMBL2323260,O=C(CC12CC3CC(CC(C3)C1)C2)NCCCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,437.6280000000002,3.833700000000003,1.0,3.0,4.657577319177793
57,CHEMBL2323257,O=C(CC12CC3CC(CC(C3)C1)C2)NC(CCO)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,453.6270000000003,2.804500000000001,2.0,4.0,4.3979400086720375
58,CHEMBL2323256,CC(OCc1ccccc1)C(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,543.7520000000003,5.027400000000005,1.0,4.0,4.5376020021010435
59,CHEMBL2323255,CC(O)C(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,453.62700000000024,2.8029,2.0,4.0,4.3979400086720375
60,CHEMBL2323254,N#CCC(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,448.6110000000002,3.3357800000000015,1.0,4.0,4.657577319177793
61,CHEMBL2323253,CC(C)CC(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,465.6820000000003,4.468200000000004,1.0,3.0,4.5376020021010435
62,CHEMBL2323252,CC(C)C(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,451.65500000000026,4.078100000000004,1.0,3.0,4.3979400086720375
63,CHEMBL2323283,O=C(CC12CC3CC(CC(C3)C1)C2)NCCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,423.6010000000002,3.4436000000000018,1.0,3.0,4.769551078621726
64,CHEMBL2323282,CC(NC(=O)CC12CC3CC(CC(C3)C1)C2)C(=O)N1CCN(Cc2ccccc2)CC1,inactive,423.60100000000017,3.442000000000002,1.0,3.0,4.3979400086720375
65,CHEMBL2323281,O=C(CNC(=O)C12CC3CC(CC(C3)C1)C2)N1CCN(Cc2ccccc2)CC1,inactive,395.54700000000014,2.6634,1.0,3.0,4.5376020021010435
66,CHEMBL2323280,CC(C)(C)CC(=O)NCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,331.46000000000004,1.8831999999999995,1.0,3.0,4.3979400086720375
67,CHEMBL1729263,O=C(Cc1ccc(Cl)cc1)NCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,385.89500000000015,2.3431000000000006,1.0,3.0,4.721246399047171
68,CHEMBL2323279,O=C(Cc1ccccc1)NCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,351.45000000000005,1.689699999999999,1.0,3.0,4.3979400086720375
69,CHEMBL2323278,O=C(CC1CCCCC1)NCC(=O)N1CCN(Cc2ccccc2)CC1,inactive,357.4980000000001,2.4173999999999998,1.0,3.0,4.3979400086720375
70,CHEMBL2323277,O=C(NCC(=O)N1CCN(Cc2ccccc2)CC1)c1ccccc1,inactive,337.42300000000006,1.7608,1.0,3.0,4.508638306165727
71,CHEMBL2323276,O=C(NCC(=O)N1CCN(Cc2ccccc2)CC1)C1CCCCC1,inactive,343.47100000000023,2.0273,1.0,3.0,4.568636235841013
73,CHEMBL221722,NC(=O)c1nc(F)cnc1O,inactive,157.10399999999998,-0.5798000000000002,2.0,4.0,4.173925197299174
78,CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,405.969,6.215000000000006,0.0,2.0,6.790484985457369
83,CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,405.969,6.215000000000006,0.0,2.0,7.585026652029182
84,CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,active,490.6520000000003,3.865400000000003,1.0,8.0,6.0
85,CHEMBL4084475,Cc1ccc(CN2CCCN(C)C3(CCN(C)CC3)C2)cc1C,active,315.5050000000001,2.9053400000000007,0.0,3.0,6.0
86,CHEMBL4064522,Cc1[nH]c2c(CN3CC(CO)C(CN4CCCC4)C3)cccc2c1C,active,341.4990000000001,2.920840000000001,2.0,3.0,6.0
87,CHEMBL399021,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](CN2CCCC2)C1,active,453.5900000000003,5.306400000000005,1.0,6.0,6.0
88,CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,inactive,280.415,3.8750000000000027,0.0,2.0,4.87942606879415
89,CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,inactive,314.86,4.528400000000004,0.0,2.0,4.987162775294828
91,CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,405.969,6.215000000000006,0.0,2.0,6.823908740944319
92,CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,inactive,314.86,4.528400000000004,0.0,2.0,4.943095148663527
94,CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,405.969,6.215000000000006,0.0,2.0,6.790484985457369
95,CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,inactive,280.415,3.8750000000000027,0.0,2.0,4.863279432843593
97,CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,405.969,6.215000000000006,0.0,2.0,6.247183568811728
98,CHEMBL2323039,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,573.7340000000003,4.419100000000004,1.0,6.0,7.886056647693163
99,CHEMBL4216072,O=C(CC12CC3CC(CC(Cl)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,629.0390000000002,5.7564000000000055,1.0,4.0,6.301029995663981
100,CHEMBL4211103,O=C(CC12CC3CC(CC(Br)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,673.4900000000002,5.912500000000007,1.0,4.0,6.221848749616356
101,CHEMBL4203855,O=C(CC12CC3(F)CC(F)(CC(F)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,648.5640000000002,5.671300000000006,1.0,4.0,6.698970004336019
102,CHEMBL4215531,O=C(CC12CC3CC(C1)CC(c1ccccc1)(C3)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,670.6920000000002,6.716800000000007,1.0,4.0,6.154901959985743
103,CHEMBL4208214,O=C(CC12CC3CC(C1)CC(c1ccc(O)c([N+](=O)[O-])c1)(C3)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,731.6880000000001,6.3306000000000076,2.0,7.0,6.221848749616356
104,CHEMBL4203338,O=C(CC12CC3CC(CC(O)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,active,610.5930000000001,4.509900000000004,2.0,5.0,6.301029995663981
106,CHEMBL4205827,CC1(CC(=O)NCC(=O)N2CCN(Cc3ccccc3OCc3ccc(Br)cc3)CC2)CCCCC1,active,556.545,5.1490000000000045,1.0,4.0,6.2839966563652006
107,CHEMBL4216746,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3(C)CCCCC3)CC2)cc1,active,535.6850000000006,4.173100000000003,1.0,6.0,7.096910013008056
108,CHEMBL4205057,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3CC(F)(F)C3)CC2)cc1,active,529.5840000000004,3.248000000000002,1.0,6.0,6.522878745280337
109,CHEMBL4204562,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,active,557.6380000000003,4.028200000000003,1.0,6.0,7.301029995663981
